Issue #,Issue Opened Time (s),Issue Closed Time (s),Issue Total Alive Time (s),Label Name,Label Action,Event Time (s),Update Time (s),User Name,Num of Comments,Milestone Name,Milestone Created Time (s),Milestone Closed Time (s),Milestone Due Date (s),Milestone Total Issues
1,1423607806.0,1423616709.0,8903.0,help wanted,labeled,1423607806.0,1423616709.0,B,4,None,None,None,None,0
1,1423607806.0,1423616709.0,8903.0,feature request,labeled,1423607806.0,1423616709.0,B,4,None,None,None,None,0
1,1423607806.0,1423616709.0,8903.0,help wanted,unlabeled,1423610461.0,1423616709.0,B,4,None,None,None,None,0
1,1423607806.0,1423616709.0,8903.0,feature request,unlabeled,1423610497.0,1423616709.0,B,4,None,None,None,None,0
1,1423607806.0,1423616709.0,8903.0,feature complete,labeled,1423610498.0,1423616709.0,B,4,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,feature request,labeled,1423607942.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,feature dev,labeled,1423669337.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,feature QA,labeled,1423674020.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,feature dev,unlabeled,1423674021.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,feature request,unlabeled,1423674022.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,help wanted,labeled,1423710681.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,help wanted,unlabeled,1423714448.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,feature QA,unlabeled,1423798635.0,1423798643.0,B,6,None,None,None,None,0
2,1423607942.0,1423798643.0,190701.0,feature complete,labeled,1423798637.0,1423798643.0,B,6,None,None,None,None,0
4,1423610508.0,1424458957.0,848449.0,feature request,labeled,1423610508.0,1424458957.0,A,5,None,None,None,None,0
5,1423668647.0,1423798665.0,130018.0,feature request,labeled,1423668647.0,1423798665.0,B,1,None,None,None,None,0
5,1423668647.0,1423798665.0,130018.0,feature dev,labeled,1423770994.0,1423798665.0,B,1,None,None,None,None,0
5,1423668647.0,1423798665.0,130018.0,feature QA,labeled,1423771153.0,1423798665.0,B,1,None,None,None,None,0
5,1423668647.0,1423798665.0,130018.0,feature dev,unlabeled,1423771154.0,1423798665.0,B,1,None,None,None,None,0
5,1423668647.0,1423798665.0,130018.0,feature request,unlabeled,1423771206.0,1423798665.0,B,1,None,None,None,None,0
5,1423668647.0,1423798665.0,130018.0,feature QA,unlabeled,1423798660.0,1423798665.0,B,1,None,None,None,None,0
5,1423668647.0,1423798665.0,130018.0,feature complete,labeled,1423798662.0,1423798665.0,B,1,None,None,None,None,0
6,1423668757.0,1424448499.0,779742.0,feature request,labeled,1423668757.0,1424448499.0,B,13,None,None,None,None,0
6,1423668757.0,1424448499.0,779742.0,feature dev,labeled,1423844443.0,1424448499.0,B,13,None,None,None,None,0
