Issue #,Issue Opened Time (s),Issue Closed Time (s),Issue Total Alive Time (s),Label Name,Label Action,Event Time (s),Update Time (s),User Name,Num of Comments,Milestone Name,Milestone Created Time (s),Milestone Closed Time (s),Milestone Due Date (s),Milestone Total Issues
1,1423716612.0,1424154475.0,437863.0,Design,labeled,1423943626.0,1424154475.0,C,1,Proof of Concept,1423421122.0,1424977086.0,1423976400.0,1
1,1423716612.0,1424154475.0,437863.0,question,labeled,1423943637.0,1424154475.0,C,1,Proof of Concept,1423421122.0,1424977086.0,1423976400.0,1
2,1423886852.0,1423934053.0,47201.0,Design,labeled,1423943515.0,1424977031.0,C,1,Get coverage code up and running,1424976835.0,1425138166.0,1424926800.0,6
2,1423886852.0,1423934053.0,47201.0,question,labeled,1423943521.0,1424977031.0,C,1,Get coverage code up and running,1424976835.0,1425138166.0,1424926800.0,6
3,1423886884.0,1425169392.0,1282508.0,question,labeled,1423943668.0,1425169392.0,C,2,Get figleaf up and running,1424976887.0,1425941525.0,1425013200.0,3
4,1423886965.0,1427068117.0,3181152.0,question,labeled,1423943602.0,1427068137.0,C,1,None,None,None,None,0
4,1423886965.0,1427068117.0,3181152.0,wontfix,labeled,1427068137.0,1427068137.0,C,1,None,None,None,None,0
5,1423887403.0,1425942122.0,2054719.0,question,labeled,1423943578.0,1425942122.0,C,1,None,None,None,None,0
6,1423937199.0,1423938179.0,980.0,Design,labeled,1423943493.0,1424977017.0,C,1,Get coverage code up and running,1424976835.0,1425138166.0,1424926800.0,6
7,1423938311.0,1424018938.0,80627.0,Code,labeled,1423943557.0,1424018938.0,C,1,None,None,None,None,0
8,1423943468.0,1423962845.0,19377.0,Design,labeled,1423943696.0,1424977007.0,C,1,Get coverage code up and running,1424976835.0,1425138166.0,1424926800.0,6
9,1423944359.0,1425513256.0,1568897.0,Integration Test,labeled,1423967051.0,1425513256.0,A,2,Look for python code on github for test bed,1424996595.0,1425513279.0,1425272400.0,1
9,1423944359.0,1425513256.0,1568897.0,question,labeled,1423967057.0,1425513256.0,A,2,Look for python code on github for test bed,1424996595.0,1425513279.0,1425272400.0,1
10,1423944845.0,1424977981.0,1033136.0,Code,labeled,1423944845.0,1424977981.0,D,1,Get coverage code up and running,1424976835.0,1425138166.0,1424926800.0,6
11,1423945128.0,1424539624.0,594496.0,Design,labeled,1423945888.0,1425068182.0,D,1,Create code graph from Trace output,1424985609.0,1426626852.0,0,3
