Issue #,Issue Opened Time (s),Issue Closed Time (s),Issue Total Alive Time (s),Label Name,Label Action,Event Time (s),Update Time (s),User Name,Num of Comments,Milestone Name,Milestone Created Time (s),Milestone Closed Time (s),Milestone Due Date (s),Milestone Total Issues
2,1423779397.0,1426107702.0,2328305.0,develop,labeled,1423975189.0,1426107702.0,B,3,V1,1424905758.0,1427054275.0,1425960000.0,19
3,1423975340.0,1424987549.0,1012209.0,develop,labeled,1423975359.0,1424987549.0,B,3,V1,1424905758.0,1427054275.0,1425960000.0,19
3,1423975340.0,1424987549.0,1012209.0,Solved,labeled,1424987553.0,1424987549.0,A,3,V1,1424905758.0,1427054275.0,1425960000.0,19
4,1424019915.0,1426107745.0,2087830.0,test,labeled,1424019915.0,1426107745.0,B,2,V1,1424905758.0,1427054275.0,1425960000.0,19
5,1424019988.0,1424102086.0,82098.0,help wanted,labeled,1424019988.0,1424297659.0,B,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,Solved,labeled,1424100810.0,1424297659.0,A,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,help wanted,unlabeled,1424100813.0,1424297659.0,A,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,bug,labeled,1424103074.0,1424297659.0,C,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,bug,unlabeled,1424103074.0,1424297659.0,C,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,Solved,unlabeled,1424103075.0,1424297659.0,C,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,Solved,labeled,1424103075.0,1424297659.0,C,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,Solved,unlabeled,1424103079.0,1424297659.0,C,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
5,1424019988.0,1424102086.0,82098.0,Solved,labeled,1424107334.0,1424297659.0,A,1,Beta Launch ,1424297592.0,1424970557.0,1425099600.0,14
