Issue,Active Issue Time (seconds)
25,678806
26,5705
27,816090,Badsmell
20,391407
21,720239,Badsmell
22,948927,Badsmell
23,1040294,Badsmell
28,760622,Badsmell
29,31395
4,848449,Badsmell
8,654797
59,344055
58,344144
55,7327
54,26790
56,148024
51,689812
50,300924
53,382835
52,209757
88,151888
89,23021
82,34153
83,7514
80,54660
81,166414
86,45
87,15383
84,10
85,160
7,1332352,Badsmell
39,68778
38,1022531,Badsmell
33,2530579,Badsmell
32,351366
31,1719740,Badsmell
30,269668
37,1375119,Badsmell
36,1181458,Badsmell
35,1063466,Badsmell
34,353674
60,1431
61,341477
62,364028
63,240208
64,174089
65,68333
66,489217
67,3372
68,71
69,48271
2,190701
6,779742,Badsmell
91,35024
90,34897
93,24400
92,8572
11,364093
10,697731
13,613278
12,83564
15,57152
14,2701
17,238986
16,57295
19,40356
18,2675
48,368300
49,139766
46,75
47,1125976,Badsmell
44,654885
45,177690
42,132
43,75056
40,1099563,Badsmell
41,761104,Badsmell
1,8903
5,130018
9,779672,Badsmell
77,532484
76,23678
75,99584
74,15092
73,19107
72,2434
71,12527
70,101548
79,1075
78,1506

357380
