Issue,Time with no Label(seconds),
1,0,
2,0,
4,0,
5,0,
6,0,
7,0,
8,9,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,253,
19,0,
20,0,
21,0,
22,0,
23,1015317,Badsmell (>12 hours)
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,35592,
34,1,
35,35440,
36,35396,
37,35344,
38,34588,
39,0,
40,247,
41,0,
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0,
49,0,
50,0,
51,0,
52,209764,Badsmell (>12 hours)
53,0,
54,22,
55,0,
56,0,
58,5,
59,6,
60,4,
61,0,
62,1247,
63,0,
64,0,
65,1,
66,0,
67,0,
68,20,
69,8,
70,0,
71,6,
72,0,
73,4,
74,6,
75,0,
76,29,
77,1763,
78,1515,
79,0,
80,0,
81,10,
82,0,
83,0,
84,0,
85,0,
86,0,
87,6,
88,0,
89,0,
90,0,
91,0,
92,0,
93,0,
