Issue,Active Issue Time (seconds)
56,104484
54,394622
42,836874
48,237020
43,835102
61,268173
62,171637
63,178076
64,166252
49,236807
66,122784
67,103773
68,95909
69,95869
52,266015
24,410599
25,244774
26,167932
27,69812
20,874651
21,520847
22,438020
23,2937
47,117642
44,965432
45,661319
28,65762
29,274090
40,1092175
41,1037100
3,1012209
2,2328305,Badsmell
5,82098
4,2087830,Badsmell
7,3018518,Badsmell
6,2072034,Badsmell
9,5370
8,2007166,Badsmell
51,266086
39,454158
65,5722
38,794363
11,795809
10,1555
13,878029
12,794524
15,1997849,Badsmell
14,1997961,Badsmell
17,1997189,Badsmell
16,190791
19,1995942,Badsmell
18,1995992,Badsmell
31,1307063
30,1313615
37,1655536,Badsmell
36,1709259,Badsmell
35,1806161,Badsmell
34,1224321
33,1285860
55,440278
32,46371
57,371162
50,21101

778043
